nn R2BBfit R2BB R2MSfit R2MS R2TRfit R2TR base
0 0 -0.148 0 -0.148 0 -0.148 -0.148
1 0.107 -0.133 0.058 -0.286 0.014 -0.473 -0.148
2 0.152 -0.209 0.088 -0.438 0.016 -0.594 -0.148
3 0.2 -0.233 0.095 -0.554 0.214 -0.794 -0.148
4 0.211 -0.266 0.159 -0.663 0.251 -0.87 -0.148
5 0.404 -0.471 0.182 -0.671 0.311 -0.969 -0.148
6 0.493 -0.543 0.24 -0.751 0.348 -1.026 -0.148
7 0.498 -0.603 0.571 -0.832 0.422 -1.208 -0.148
8 0.535 -0.671 0.631 -0.754 0.485 -1.297 -0.148
9 0.555 -0.799 0.822 -0.714 0.778 -1.216 -0.148
10 0.721 -0.851 0.858 -0.792 0.818 -1.214 -0.148
